Id,date_new,sum_mets,Calories
5577150313,23-04-16,24937,3152
6117666160,23-04-16,25502,2651
6290855005,23-04-16,18624,2664
6775888955,23-04-16,14400,1841
6962181067,23-04-16,28667,2571
7007744171,23-04-16,21130,2284
7086361926,23-04-16,17351,1965
8053475328,23-04-16,29196,3554
8253242879,23-04-16,21511,2132
8378563200,23-04-16,19372,2908
8583815059,23-04-16,21472,3012
8792009665,23-04-16,23434,2748
8877689391,23-04-16,31809,3891
1503960366,24-04-16,22746,1788
1624580081,24-04-16,19460,1617
1644430081,24-04-16,17176,2413
1844505072,24-04-16,14400,1347
1927972279,24-04-16,16227,2324
2022484408,24-04-16,24378,2529
2026352035,24-04-16,18080,1401
2320127002,24-04-16,18752,1725
2347167796,24-04-16,23247,2187
2873212765,24-04-16,21696,1898
3372868164,24-04-16,20544,1921
3977333714,24-04-16,23557,1655
4020332650,24-04-16,14400,1980
4319703577,24-04-16,18607,1880
4388161847,24-04-16,22120,2885
4445114986,24-04-16,19608,2247
4558609924,24-04-16,23246,2173
4702921684,24-04-16,25262,3538
5553957443,24-04-16,16457,1507
5577150313,24-04-16,34758,4392
6117666160,24-04-16,22180,2305
6290855005,24-04-16,18894,2703
6775888955,24-04-16,16060,2053
6962181067,24-04-16,19015,1705
7007744171,24-04-16,24668,2667
7086361926,24-04-16,18107,2049
8053475328,24-04-16,29379,3577
8253242879,24-04-16,19934,1976
8378563200,24-04-16,18258,2741
8583815059,24-04-16,20602,2889
8792009665,24-04-16,15349,1799
8877689391,24-04-16,28242,3455
1503960366,25-04-16,25596,2013
1624580081,25-04-16,17960,1492
1644430081,25-04-16,17772,2497
1844505072,25-04-16,14400,1347
1927972279,25-04-16,14650,2100
2022484408,25-04-16,23805,2470
2026352035,25-04-16,20345,1576
2320127002,25-04-16,17982,1654
2347167796,25-04-16,22275,2095
2873212765,25-04-16,21808,1907
3372868164,25-04-16,21498,2010
3977333714,25-04-16,22316,1570
4020332650,25-04-16,14400,1980
4319703577,25-04-16,22893,2314
4388161847,25-04-16,25216,3288
4445114986,25-04-16,18071,2070
4558609924,25-04-16,23839,2225
4702921684,25-04-16,21848,3064
5553957443,25-04-16,22195,2033
5577150313,25-04-16,26704,3374
6117666160,25-04-16,14400,1497
6290855005,25-04-16,19368,2771
6775888955,25-04-16,19417,2484
6962181067,25-04-16,24412,2194
7007744171,25-04-16,28260,3055
7086361926,25-04-16,24320,2752
8053475328,25-04-16,27954,3403
8253242879,25-04-16,19256,1909
8378563200,25-04-16,26674,4005
8583815059,25-04-16,18166,2547
8792009665,25-04-16,14400,1688
8877689391,25-04-16,31091,3802
1503960366,26-04-16,25056,1970
1624580081,26-04-16,16874,1402
1644430081,26-04-16,22224,3123
1844505072,26-04-16,14400,1347
1927972279,26-04-16,18416,2638
2022484408,26-04-16,26918,2793
2026352035,26-04-16,20582,1595
2320127002,26-04-16,17748,1632
2347167796,26-04-16,19787,1861
2873212765,26-04-16,21532,1882
3372868164,26-04-16,21993,2057
3977333714,26-04-16,22085,1551
4020332650,26-04-16,14400,1980
4319703577,26-04-16,22122,2236
4388161847,26-04-16,22458,2929
4445114986,26-04-16,19995,2291
4558609924,26-04-16,23798,2223
4702921684,26-04-16,19874,2784
5553957443,26-04-16,22859,2093
5577150313,26-04-16,24443,3088
6117666160,26-04-16,23576,2450
6290855005,26-04-16,14400,2060
6775888955,26-04-16,20217,2584
6962181067,26-04-16,22436,2012
7007744171,26-04-16,27189,2939
7086361926,26-04-16,24565,2781
8053475328,26-04-16,23366,2846
8253242879,26-04-16,18291,1813
8378563200,26-04-16,25064,3763
8583815059,26-04-16,22059,3093
8792009665,26-04-16,16443,1928
8877689391,26-04-16,23397,2860
1503960366,27-04-16,27451,2159
1624580081,27-04-16,20098,1670
1644430081,27-04-16,17716,2489
1844505072,27-04-16,14416,1348
1927972279,27-04-16,14402,2063
2022484408,27-04-16,23737,2463
2026352035,27-04-16,20558,1593
2320127002,27-04-16,16102,1481
2347167796,27-04-16,23328,2194
2873212765,27-04-16,22478,1966
3372868164,27-04-16,22409,2095
3977333714,27-04-16,19600,1377
4020332650,27-04-16,14400,1980
4319703577,27-04-16,22994,2324
4388161847,27-04-16,23573,3074
4445114986,27-04-16,20610,2361
4558609924,27-04-16,22475,2098
4702921684,27-04-16,20720,2908
5553957443,27-04-16,20984,1922
5577150313,27-04-16,26068,3294
6117666160,27-04-16,24794,2576
6290855005,27-04-16,19172,2743
6775888955,27-04-16,14400,1841
6962181067,27-04-16,22725,2034
7007744171,27-04-16,26179,2830
7086361926,27-04-16,23796,2693
8053475328,27-04-16,23428,2852
8253242879,27-04-16,20257,2008
8378563200,27-04-16,20390,3061
8583815059,27-04-16,22408,3142
8792009665,27-04-16,17620,2067
8877689391,27-04-16,31128,3808
1503960366,28-04-16,24141,1898
1624580081,28-04-16,16870,1401
1644430081,28-04-16,22122,3108
1844505072,28-04-16,21294,1992
1927972279,28-04-16,16411,2351
2022484408,28-04-16,22126,2296
2026352035,28-04-16,21285,1649
2320127002,28-04-16,16014,1473
2347167796,28-04-16,19719,1854
2873212765,28-04-16,20993,1835
3372868164,28-04-16,21090,1972
3977333714,28-04-16,20033,1407
4020332650,28-04-16,14400,1980
4319703577,28-04-16,23420,2367
4388161847,28-04-16,22764,2969
4445114986,28-04-16,19231,2203
4558609924,28-04-16,23402,2185
4702921684,28-04-16,21658,3033
5553957443,28-04-16,21830,1999
5577150313,28-04-16,28334,3580
6117666160,28-04-16,18087,1879
6290855005,28-04-16,18780,2687
6775888955,28-04-16,15589,1993
6962181067,28-04-16,24388,2182
7007744171,28-04-16,26236,2836
7086361926,28-04-16,25274,2862
8053475328,28-04-16,25150,3062
8253242879,28-04-16,15940,1580
8378563200,28-04-16,19214,2884
8583815059,28-04-16,19660,2757
8792009665,28-04-16,23709,2780
8877689391,28-04-16,25065,3060
1503960366,29-04-16,23365,1837
1624580081,29-04-16,16900,1404
1644430081,29-04-16,17776,2498
1844505072,29-04-16,19840,1856
1927972279,29-04-16,14400,2063
2022484408,29-04-16,25166,2611
2026352035,29-04-16,21841,1692
2320127002,29-04-16,15334,1410
2347167796,29-04-16,3665,403
2873212765,29-04-16,20360,1780
3372868164,29-04-16,21864,2044
3977333714,29-04-16,21990,1545
4020332650,29-04-16,14400,1980
4319703577,29-04-16,21525,2175
4388161847,29-04-16,22841,2979
4445114986,29-04-16,19147,2196
4558609924,29-04-16,20591,1918
4702921684,29-04-16,22596,3165
5553957443,29-04-16,23687,2169
5577150313,29-04-16,28052,3544
6117666160,29-04-16,24635,2560
6290855005,29-04-16,14400,2060
6775888955,29-04-16,14406,1841
6962181067,29-04-16,25141,2254
7007744171,29-04-16,29420,3180
7086361926,29-04-16,23102,2616
8053475328,29-04-16,22953,2794
8253242879,29-04-16,18025,1854
8378563200,29-04-16,19866,2982
8583815059,29-04-16,25026,3513
8792009665,29-04-16,26449,3101
8877689391,29-04-16,22120,2698
1503960366,30-04-16,24763,1947
1624580081,30-04-16,19922,1655
1644430081,30-04-16,27370,3846
1844505072,30-04-16,18844,1763
1927972279,30-04-16,14400,2064
2022484408,30-04-16,26330,2732
